FRFR_OCCRR_ID,OCCRR_YR,OCCRR_MNT,OCCRR_DT,OCCRR_TM,OCCRR_DYWK_NM,FRFR_OCCRR_CTPRV_NM,FRFR_OCCRR_SGNG_NM,FRFR_OCCRR_EPMN_NM,FRFR_OCCRR_DNL_NM,FRFR_OCCRR_LTNO_NM,FRFR_OCCRR_LCTN_XCRD,FRFR_OCCRR_LCTN_YCRD,LTTC_ID,FRFR_POTFR_TM,FRFR_OCCRR_CAUS_NM,FRFR_DMG_AREA,POTFR_RSRC_INPT_QNTT,TPRT,HMDT,WDSP,PRCPT_QNTT,STORUNST_CD,FRTP_CD,DNST_CD,FRTP_TRE_HGHT,DMCLS_CD,AGCLS_CD,HASLV,NNFRS_DSTNC,CMPSI_FG,PTMNT_FG,CMTRY_FG,FRSTTN_DSTNC,PTMNT_DSTNC,TPGRP_DATA_FG
10,2014,1,13,12,월요일,강원특별자치도,화천군,상서면,파포리,산124,127.6372044,38.1490595,라아12a16b,1:50,농산부산물소각,0.15,88.0,-7.0375000000000005,51.41666666666666,1.0416666666666667,0.0,0.0,0.0,,0.0,,,280.0,22.005,0.0,0.0,0.0,12.898,3375.693,1.0
17,2014,1,15,16,수요일,강원특별자치도,삼척시,도계읍,흥전리,산92-1,129.0188349,37.2138621,마사34b13b,1:17,입산자실화,0.1,169.0,-5.804166666666667,41.625,1.2041666666666666,0.0,1.0,1.0,C,10.0,2.0,4.0,605.0,439.767,0.0,0.0,0.0,5.865,1852.94,1.0
18,2014,1,16,10,목요일,강원특별자치도,정선군,북평면,숙암리,산1,128.6080175,37.5220268,라사97b47b,3:20,입산자실화,0.2,189.0,-4.741666666666666,62.04166666666666,0.9708333333333332,0.0,1.0,2.0,C,22.0,2.0,6.0,960.0,1587.285,0.0,0.0,0.0,25.118,4432.07,1.0
23,2014,1,19,19,일요일,강원특별자치도,원주시,신림면,성남리,산38,128.1083786,37.2531758,라사53b17a,0:55,담뱃불실화,0.02,30.0,-4.3625,56.04166666666666,1.05,0.0,1.0,1.0,C,20.0,2.0,6.0,500.0,196.005,0.0,0.0,0.0,4.641,695.974,1.0
58,2014,2,4,19,화요일,강원특별자치도,양양군,양양읍,화일리,545,128.5654131,38.1000026,라아93a11b,2:05,건축물화재비화,0.5,361.0,-4.2,30.791666666666668,2.4,0.0,0.0,0.0,,0.0,2.0,4.0,90.0,25.399,0.0,0.0,0.0,8.575,1180.751,1.0
102,2014,2,27,12,목요일,강원특별자치도,횡성군,우천면,하대리,산111,128.0896845,37.4684023,라사52a41a,1:15,농산부산물소각,0.25,99.0,6.629166666666666,62.708333333333336,1.5291666666666668,0.0,1.0,1.0,C,14.0,2.0,5.0,290.0,60.311,0.0,0.0,0.0,3.887,8419.167,1.0
112,2014,3,3,11,월요일,강원특별자치도,원주시,흥업면,매지리,산116-1,127.9078133,37.2508737,라사36a16b,1:07,농산부산물소각,0.1,40.0,3.7916666666666665,47.25,1.075,0.0,1.0,1.0,C,26.0,2.0,4.0,330.0,45.447,0.0,0.0,0.0,6.115,2882.162,1.0
113,2014,3,3,14,월요일,강원특별자치도,원주시,,관설동,산158,127.9746644,37.3043611,라사42a22b,0:48,농산부산물소각,0.06,45.0,3.7916666666666665,47.25,1.075,0.0,1.0,1.0,C,28.0,2.0,4.0,200.0,46.633,0.0,0.0,0.0,4.571,3902.313,1.0
123,2014,3,5,15,수요일,강원특별자치도,춘천시,남면,가정리,산59,127.5679779,37.7360999,라사05b70b,1:23,농산부산물소각,0.01,80.0,2.920833333333333,50.79166666666666,2.4375,0.0,1.0,1.0,C,4.0,2.0,4.0,95.0,47.479,0.0,0.0,0.0,13.125,751.432,1.0
130,2014,3,7,11,금요일,강원특별자치도,영월군,김삿갓면,진별리,산150,128.5444125,37.1306381,라사92b04a,5:40,농산부산물소각,2.0,430.0,0.1124999999999999,31.666666666666668,3.329166666666667,0.0,1.0,2.0,C,20.0,2.0,5.0,355.0,264.726,0.0,0.0,0.0,12.324,1025.247,1.0
